StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID2,QID3,QID4,QID4_5_TEXT,QID7,QID6,QID8,QID8_25_TEXT,QID10,QID11,QID12,QID13,QID15,QID16,QID17,QID40,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID26,QID28,QID29,QID30,QID31,QID32
,,,,100,,TRUE,,R_7RXht8qUKopVNZr,,,,,,,,,,Yes,,Undergraduate Student,,Accounting,,Academic,School of Business,Not familiar at all,Not familiar at all,Slightly familiar,Yes,ChatGPT,Valuable,"Mathematica,SPSS from IBM",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support",Yes,Strongly agree,Somewhat agree,No,Somewhat disagree,Some value,No,,No,No,,,
,,,,100,,TRUE,,R_1bQxvqqNEa7cnN7,,,,,,,,,,Yes,,Undergraduate Student,,Computer science,,Academic,School of Engineering and Applied Science,Moderately familiar,Very familiar,Moderately familiar,Yes,N/a,Valuable,"GW Github,Matlab,Slack",I use open source software about the same as the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization,Lower Costs",Yes,Strongly agree,Somewhat agree,No,Somewhat disagree,Some value,No,,No,No,,,
,,,,100,,TRUE,,R_1N7VAl2jzfjgcov,,,,,,,,,,Yes,,Undergraduate Student,,Computer science ,,Academic,School of Engineering and Applied Science,Not familiar at all,Not familiar at all,Moderately familiar,Yes,GitHub repos,Valuable,GW Github,I use open source software much more than the licensed software in CSL,Knowledge Sharing,Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_12E0UnNhf7ebh6b,,,,,,,,,,Yes,,Undergraduate Student,,Business,,Academic,School of Business,Moderately familiar,Moderately familiar,Slightly familiar,Yes,No clue,Valuable,None,"N/A, I don't use either","Scalability,Community Support",Yes,Neither agree nor disagree,Neither agree nor disagree,No,Somewhat agree,Little value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_5uq9WgFxNADKYOB,,,,,,,,,,Yes,,Graduate Student,,International Affairs ,,Academic,Elliott School of International Affairs,Not familiar at all,Slightly familiar,Moderately familiar,Yes,I am not sure what they are but I am aware that they exist. ,Neutral,Adobe Creative Cloud,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Customization",Yes,Neither agree nor disagree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,No,No,,,
,,,,100,,TRUE,,R_3nk1U176pKLC80y,,,,,,,,,,Yes,,Undergraduate Student,,international affairs,,Academic,Elliott School of International Affairs,Slightly familiar,Slightly familiar,Very familiar,Yes,Khan Academy Chatgpt,Critical/Vital/Essential,"Adobe Creative Cloud,Mathematica,Matlab,Microsoft Copilot,Slack",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_5CVJVDfskkg6Shz,,,,,,,,,,Yes,,Undergraduate Student,,Political Science and Religion,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Very familiar,No,,Neutral,None,"N/A, I don't use either","Knowledge Sharing,Flexibility",Yes,Somewhat agree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_18NCZf0TNuSc8To,,,,,,,,,,Yes,,Undergraduate Student,,Environmental science,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Not familiar at all,No,,Neutral,ArcGIS,"N/A, I don't use either",Flexibility,Yes,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1BRhsom5ROQD0HZ,,,,,,,,,,Yes,,Undergraduate Student,,Psychology,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Moderately familiar,Not familiar at all,No,,Neutral,"Adobe Creative Cloud,Qualtrics","N/A, I don't use either",Reproducibility,Not sure,Neither agree nor disagree,Neither agree nor disagree,No,Somewhat disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3HAore9D7llGCzH,,,,,,,,,,Yes,,Graduate Student,,Management ,,Academic,School of Business,Not familiar at all,Not familiar at all,Not familiar at all,No,,Neutral,None,I use open source software much less than the licensed software in CSL,Reproducibility,Yes,Somewhat agree,Somewhat agree,Yes,Somewhat agree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_6gzttXoOt44aTMs,,,,,,,,,,Yes,,Undergraduate Student,,Engineerig,,Academic,School of Engineering and Applied Science,Moderately familiar,Slightly familiar,Moderately familiar,Yes,,Irrelevant,"GW Github,STATA",I use open source software much more than the licensed software in CSL,"Flexibility,Community Support",Not sure,Strongly agree,Somewhat disagree,Yes,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_5DO9nhdRlmYkJGL,,,,,,,,,,Yes,,Undergraduate Student,,Biology,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Not familiar at all,Yes,,Irrelevant,Adobe Creative Cloud,I use open source software much less than the licensed software in CSL,,Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Some value,No,,No,No,,,
,,,,100,,TRUE,,R_3DwI4b0eDuhRpj3,,,,,,,,,,Yes,,Undergraduate Student,,International affairs,,Academic,Elliott School of International Affairs,Not familiar at all,Not familiar at all,Moderately familiar,No,,Neutral,Adobe Creative Cloud,"N/A, I don't use either","Knowledge Sharing,Flexibility,Scalability,Lower Costs",Yes,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_10H0baisWmAp5Fv,,,,,,,,,,Yes,,Graduate Student,,Medicine ,,Academic,School of Medicine and Health Sciences,Not familiar at all,Not familiar at all,Slightly familiar,No,,Little importance,None,"N/A, I don't use either",Knowledge Sharing,Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1PASZykpD2D9Jh4,,,,,,,,,,Yes,,Undergraduate Student,,Economics,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Slightly familiar,Yes,,Neutral,"Adobe Creative Cloud,SAS,STATA",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility",Not sure,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,R_5GUqtAq6k6AYByq,,,,,,,,,,Yes,,Undergraduate Student,,Psychology ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Slightly familiar,No,,Neutral,None,"N/A, I don't use either","Knowledge Sharing,Community Support",Yes,Somewhat agree,Neither agree nor disagree,No,Strongly disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1GsrtJwFo13KAZr,,,,,,,,,,Yes,,Undergraduate Student,,Econ and American studies ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Slightly familiar,Very familiar,No,,Valuable,STATA,"N/A, I don't use either","Knowledge Sharing,Flexibility",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_6O2pZos4TEb05r8,,,,,,,,,,Yes,,Staff,,,0-1 years,Administrative,Libraries,Not familiar at all,Extremely familiar,Very familiar,Yes,"OBS Studio, Gimp, Twine",Valuable,"Adobe Creative Cloud,GW Github,Slack",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support,Lower Costs,Vendor Independence",Yes,Strongly disagree,Strongly disagree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3rqTLCbDWdYByNj,,,,,,,,,,Yes,,Undergraduate Student,,Computer science ,,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Moderately familiar,Yes,Github,Valuable,GW Github,I use open source software much more than the licensed software in CSL,Knowledge Sharing,Yes,Somewhat agree,Somewhat agree,No,Somewhat agree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,R_3q9eZK2WXc8V7BS,,,,,,,,,,Yes,,Undergraduate Student,,Economics and Finance,,Academic,Columbian College of Arts and Sciences,Slightly familiar,Slightly familiar,Moderately familiar,Yes,Python stata,Neutral,"GW Github,STATA",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Some value,Yes,,No,No,,,
,,,,100,,TRUE,,R_3kG2hcAM7TIQGXA,,,,,,,,,,Yes,,Undergraduate Student,,Political science and Criminal Justice,,Academic,Columbian College of Arts and Sciences,Moderately familiar,Moderately familiar,Very familiar,No,,Little importance,"Adobe Creative Cloud,Microsoft Copilot","N/A, I don't use either","Reproducibility,Knowledge Sharing,Flexibility,Community Support",Yes,Somewhat agree,Somewhat disagree,No,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_58SpcfJSAUAY7xn,,,,,,,,,,Yes,,Graduate Student,,Business ,,Academic,School of Business,Slightly familiar,Moderately familiar,Slightly familiar,No,,Neutral,"Adobe Creative Cloud,Microsoft Copilot,STATA","N/A, I don't use either",Knowledge Sharing,Yes,Neither agree nor disagree,Somewhat agree,Yes,Somewhat agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,R_13OC0v4AKBQNeUN,,,,,,,,,,Yes,,Undergraduate Student,,Political Science ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,No,,Neutral,"Qualtrics,Slack",I use open source software much less than the licensed software in CSL,Flexibility,Not sure,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3z6jvFkmhBUw3SF,,,,,,,,,,Yes,,Undergraduate Student,,Public Health ,,Academic,Milken Institute School of Public Health,Slightly familiar,Slightly familiar,Very familiar,No,,Valuable,"Adobe Creative Cloud,GW Github",I use open source software much less than the licensed software in CSL,"Reproducibility,Lower Costs",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_6RPrjLLcZk3inGd,,,,,,,,,,Yes,,Staff,,,0-1 years,Administrative,Libraries,Moderately familiar,Very familiar,Very familiar,No,,Valuable,"Adobe Creative Cloud,Qualtrics,Slack",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Customization,Lower Costs",Yes,Strongly agree,Somewhat agree,No,Strongly agree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,R_1UpZc3n4IQXesXn,,,,,,,,,,Yes,,Undergraduate Student,,Political science ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,Yes,"Khan academy, j store…. Other online libraries ",Critical/Vital/Essential,None,"N/A, I don't use either","Knowledge Sharing,Community Support,Lower Costs",Yes,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,No,,No,No,,,
,,,,100,,TRUE,,R_3CNSDo3k8M0ySbV,,,,,,,,,,Yes,,Staff,,,4-6 years,Administrative,Libraries,Slightly familiar,Slightly familiar,Moderately familiar,No,,Valuable,"Microsoft Copilot,NVivo,Qualtrics,Slack,SPSS from IBM",I use open source software much less than the licensed software in CSL,"Reproducibility,Community Support,Lower Costs,Vendor Independence",Yes,Neither agree nor disagree,Strongly agree,No,Somewhat disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3HnvctrzUypgYye,,,,,,,,,,Yes,,Undergraduate Student,,nutrition,,Academic,Milken Institute School of Public Health,Not familiar at all,Slightly familiar,Very familiar,Yes,"em
i dont inow",Little importance,Adobe Creative Cloud,"N/A, I don't use either",Knowledge Sharing,Yes,Somewhat agree,Somewhat agree,Yes,Somewhat agree,Neutral,Yes,,Yes,No,,,
,,,,100,,TRUE,,R_3r2QdBObhgAEUAV,,,,,,,,,,Yes,,Graduate Student,,Museum Studies,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,No,,Little importance,"Adobe Creative Cloud,Qualtrics,Slack,SPSS from IBM,STATA",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Flexibility,Community Support",Yes,Strongly disagree,Strongly disagree,No,Neither agree nor disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_1rJE2bWwOA7crot,,,,,,,,,,Yes,,Undergraduate Student,,Economics ,,Academic,Columbian College of Arts and Sciences,Slightly familiar,Slightly familiar,Very familiar,Yes,Code ,Critical/Vital/Essential,"GW Github,SAS,STATA",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability",Yes,Somewhat disagree,Somewhat disagree,No,Somewhat agree,Very valuable,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_7QETsmAENpa8BBS,,,,,,,,,,Yes,,Undergraduate Student,,International Business,,Academic,School of Business,Not familiar at all,Not familiar at all,Moderately familiar,No,,Neutral,Microsoft Copilot,"N/A, I don't use either",Knowledge Sharing,Yes,Somewhat agree,Somewhat agree,No,Somewhat disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_15X0KwfilG3D4mR,,,,,,,,,,Yes,,Undergraduate Student,,Electrical Engineering ,,Academic,School of Engineering and Applied Science,Slightly familiar,Slightly familiar,Very familiar,No,,Neutral,"Mathematica,Matlab",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support,Lower Costs",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,R_6dAQK9BYMzHf8Pv,,,,,,,,,,Yes,,Undergraduate Student,,Polisci and Bio,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,No,,Neutral,"Adobe Creative Cloud,GW Github,Qualtrics,Slack",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3kXOoS54BLWulNv,,,,,,,,,,Yes,,Undergraduate Student,,Organizational Sciences,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Slightly familiar,No,,Neutral,None,I use open source software much less than the licensed software in CSL,"Flexibility,Community Support,Lower Costs",Yes,Neither agree nor disagree,Neither agree nor disagree,Yes,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_7aGyyar0Cly0W2J,,,,,,,,,,Yes,,Undergraduate Student,,Public health,,Academic,Milken Institute School of Public Health,Not familiar at all,Moderately familiar,Moderately familiar,No,,Neutral,"Adobe Creative Cloud,Mathematica,Matlab,Slack,SPSS from IBM","N/A, I don't use either","Scalability,Lower Costs",Not sure,Neither agree nor disagree,Neither agree nor disagree,Yes,Neither agree nor disagree,Neutral,No,,No,No,,,
,,,,100,,TRUE,,R_6ncRTHQlpCDMrHn,,,,,,,,,,Yes,,Undergraduate Student,,Biology ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Slightly familiar,Extremely familiar,Yes,"Khan Academy
",Valuable,"Adobe Creative Cloud,Autodesk,Matlab",I use open source software much less than the licensed software in CSL,"Reproducibility,Lower Costs",No,Somewhat agree,Somewhat agree,No,Somewhat agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,R_3THxYJgsP3qwZrj,,,,,,,,,,Yes,,Undergraduate Student,,Finance,,Academic,School of Business,Not familiar at all,Not familiar at all,Very familiar,No,,Valuable,"Adobe Creative Cloud,Matlab,STATA","N/A, I don't use either","Knowledge Sharing,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,No,Strongly agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3UxZmjvZcmJppi9,,,,,,,,,,Yes,,Undergraduate Student,,Anthropology ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Not familiar at all,No,,Valuable,"Adobe Creative Cloud,Microsoft Copilot",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Strongly agree,Very valuable,No,,Yes,No,,,
,,,,100,,TRUE,,R_5sbsGj4c5WXUXIL,,,,,,,,,,Yes,,Undergraduate Student,,Psychology ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Very familiar,No,,Neutral,Microsoft Copilot,I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Lower Costs",Yes,Somewhat agree,Somewhat agree,No,Somewhat disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_60ppvPLdZAPqQ7K,,,,,,,,,,Yes,,Undergraduate Student,,Political Communications,,Academic,School of Media & Public Affairs,Slightly familiar,Slightly familiar,Moderately familiar,No,,Critical/Vital/Essential,"Adobe Creative Cloud,Microsoft Copilot,Slack",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs",Yes,Somewhat agree,Somewhat agree,Yes,Somewhat agree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_7oGgH59HEHKKmw3,,,,,,,,,,Yes,,Undergraduate Student,,Computer Science,,Academic,School of Engineering and Applied Science,Extremely familiar,Extremely familiar,Extremely familiar,Yes,Khan academy,Valuable,"GW Github,Microsoft Copilot,Slack",I use open source software about the same as the licensed software in CSL,"Flexibility,Customization,Lower Costs",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5EZjOrLZPCj3JHL,,,,,,,,,,Yes,,Graduate Student,,Computer science,,Academic,School of Engineering and Applied Science,Very familiar,Very familiar,Moderately familiar,Yes,"GitHub , Gotland , bitbucket , atlassian",Critical/Vital/Essential,"GW Github,Matlab",I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Community Support,Lower Costs,Vendor Independence",Not sure,Somewhat agree,Somewhat agree,Yes,Somewhat disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1rCp1oVVbOIYkin,,,,,,,,,,Yes,,Graduate Student,,Data Science,,Academic,Columbian College of Arts and Sciences,Very familiar,Very familiar,Very familiar,Yes,OpenAI,Valuable,"Adobe Creative Cloud,Autodesk,Matlab,Microsoft Copilot,SAS",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Vendor Independence",Yes,Somewhat agree,Strongly agree,Yes,Strongly agree,Very valuable,Yes,,Yes,No,,,
,,,,100,,TRUE,,R_6OczAItUyhO9fgK,,,,,,,,,,Yes,,Undergraduate Student,,Marketing and History,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,No,,Irrelevant,Adobe Creative Cloud,"N/A, I don't use either",Scalability,Yes,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1SDJYHTNsOotxdf,,,,,,,,,,Yes,,Undergraduate Student,,Political science and Finance ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,No,,Little importance,None,"N/A, I don't use either",Flexibility,No,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_7nB4qq2kJ0T1u53,,,,,,,,,,Yes,,Undergraduate Student,,Policsci ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Not familiar at all,No,,Valuable,Adobe Creative Cloud,I use open source software about the same as the licensed software in CSL,Community Support,No,Somewhat agree,Somewhat agree,Yes,Somewhat disagree,Little value,Yes,,No,Yes,,,
,,,,100,,TRUE,,R_1SI7E2KLg7dj57K,,,,,,,,,,Yes,,Undergraduate Student,,Chemistry,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Extremely familiar,Yes,Khan academy,Valuable,Adobe Creative Cloud,"N/A, I don't use either","Reproducibility,Knowledge Sharing,Flexibility",Yes,Somewhat agree,Somewhat agree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_6OyERJla2lNhAU9,,,,,,,,,,Yes,,Undergraduate Student,,Finance ,,Academic,School of Business,Not familiar at all,Not familiar at all,Slightly familiar,No,,Valuable,Adobe Creative Cloud,"N/A, I don't use either","Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,No,Neither agree nor disagree,Some value,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_1e7wl6655gxGziF,,,,,,,,,,Yes,,Undergraduate Student,,Finance ,,Academic,School of Engineering and Applied Science,Not familiar at all,Not familiar at all,Moderately familiar,Yes,Idk,Irrelevant,None,I use open source software about the same as the licensed software in CSL,Customization,No,Strongly disagree,Strongly disagree,Yes,Neither agree nor disagree,Neutral,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5WOS6hVw5dZVKIM,,,,,,,,,,Yes,,Undergraduate Student,,Double major in history and marketing with a minor in accounting. ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Very familiar,Yes,Wikipedia.,Valuable,None,"N/A, I don't use either","Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Customization",Yes,Somewhat agree,Strongly agree,No,Neither agree nor disagree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_3eSc4no6pIosUX7,,,,,,,,,,Yes,,Undergraduate Student,,Psychology and Data Science,,Academic,Columbian College of Arts and Sciences,Very familiar,Very familiar,Extremely familiar,Yes,"R, OSF",Valuable,Slack,I use open source software about the same as the licensed software in CSL,"Reproducibility,Knowledge Sharing,Customization,Lower Costs",Yes,Strongly agree,Somewhat agree,No,Neither agree nor disagree,Very valuable,Yes,,Yes,No,,,
,,,,100,,TRUE,,R_3BPEQaCKZiXJFHX,,,,,,,,,,Yes,,Undergraduate Student,,Economics ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,No,,Neutral,None,"N/A, I don't use either","Knowledge Sharing,Flexibility,Customization",Yes,Neither agree nor disagree,Neither agree nor disagree,No,Somewhat agree,Some value,No,,No,No,,,
,,,,100,,TRUE,,R_7dSUvsFeCJvYSkZ,,,,,,,,,,Yes,,Graduate Student,,Business ,,Academic,School of Business,Not familiar at all,Slightly familiar,Slightly familiar,Yes,Khan academy,Valuable,GW Github,I use open source software about the same as the licensed software in CSL,Flexibility,Yes,Neither agree nor disagree,Neither agree nor disagree,Yes,Somewhat disagree,Neutral,Yes,,Yes,No,,,
,,,,100,,TRUE,,R_5wYBr1XaARkWguZ,,,,,,,,,,Yes,,Staff,,,2-3 years,Administrative,Libraries,Slightly familiar,Very familiar,Very familiar,Yes,"My work is dependent on a large amount of open source tools. As a librarian and archivist, I rely on open source software/technology like: ArchivesSpace (content management system), Samvera (digital repository), Fedora (Fedora Commons), Apache Solr, FFMpeg, Tesseract, OpenAI/Whisper, heritrix3 (web crawler), Python (and many additional python libraries). My work is also underpinned by a variety of open file formats.",Critical/Vital/Essential,"Adobe Creative Cloud,GW Github,Slack",I use open source software much more than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Flexibility,Scalability,Community Support,Lower Costs,Vendor Independence",Yes,Strongly agree,Strongly agree,Yes,Somewhat agree,Very valuable,Yes,,No,No,,,
,,,,100,,TRUE,,R_3e6W7tu457MqqaJ,,,,,,,,,,Yes,,Undergraduate Student,,Journalism and economics ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Moderately familiar,Moderately familiar,Yes,,Irrelevant,None,I use open source software about the same as the licensed software in CSL,Community Support,No,Strongly disagree,Strongly agree,Yes,Somewhat disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_5xELkEITYwHSgJT,,,,,,,,,,Yes,,Undergraduate Student,,Finance,,Academic,School of Business,Slightly familiar,Very familiar,Very familiar,Yes,,Valuable,"Adobe Creative Cloud,Mathematica,Microsoft Copilot",I use open source software about the same as the licensed software in CSL,"Reproducibility,Flexibility,Community Support,Vendor Independence",Yes,Somewhat agree,Somewhat agree,Yes,Somewhat agree,Very valuable,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_7rUTfhvLXLJnBM7,,,,,,,,,,Yes,,Undergraduate Student,,"Human Service & Social Justice, Peace Studies",,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Moderately familiar,Yes,Givepulse,Valuable,"Qualtrics,Slack,STATA",I use open source software much less than the licensed software in CSL,"Knowledge Sharing,Community Support,Customization",Yes,Somewhat agree,Neither agree nor disagree,No,Strongly disagree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,R_3tGIyTOlZ31UkPT,,,,,,,,,,Yes,,Undergraduate Student,,International Business ,,Academic,School of Business,Slightly familiar,Slightly familiar,Moderately familiar,No,,Critical/Vital/Essential,None,"N/A, I don't use either","Knowledge Sharing,Community Support",Yes,Somewhat agree,Strongly agree,No,Somewhat agree,Very valuable,Yes,,No,No,,,
,,,,100,,TRUE,,R_7KpdfHErlGj8pIL,,,,,,,,,,Yes,,Undergraduate Student,,Geography and Internarional Affairs,,Academic,Elliott School of International Affairs,Not familiar at all,Very familiar,Very familiar,Yes,"QGiS, Open Street Map, Gimp, lots of GitHub codes for mapping stuff, shape file databases",Critical/Vital/Essential,"Adobe Creative Cloud,ArcGIS",I use open source software much less than the licensed software in CSL,"Reproducibility,Knowledge Sharing,Community Support,Customization,Lower Costs",Yes,Strongly agree,Neither agree nor disagree,Yes,Neither agree nor disagree,Some value,Yes,,No,Yes,,,
,,,,100,,TRUE,,R_5sK4DxvCdLzHgFH,,,,,,,,,,Yes,,Undergraduate Student,,International Affairs,,Academic,Elliott School of International Affairs,Not familiar at all,Slightly familiar,Moderately familiar,Yes,Chat gpt ,Valuable,"Adobe Creative Cloud,Slack",I use open source software much more than the licensed software in CSL,"Knowledge Sharing,Flexibility,Customization",Yes,Neither agree nor disagree,Somewhat agree,No,Strongly disagree,Some value,No,,Yes,No,,,
,,,,100,,TRUE,,R_6CJH5L6E0l1o4s9,,,,,,,,,,Yes,,Undergraduate Student,,IA,,Academic,Elliott School of International Affairs,Moderately familiar,Moderately familiar,Very familiar,No,,Neutral,"ArcGIS,Matlab,Qualtrics,SAS,SPSS from IBM",I use open source software much less than the licensed software in CSL,"Flexibility,Lower Costs",Yes,Strongly agree,Somewhat agree,Yes,Neither agree nor disagree,Some value,Yes,,Yes,Yes,,,
,,,,100,,TRUE,,R_1ffRcPv07zwupAM,,,,,,,,,,Yes,,Undergraduate Student,,Accounting ,,Academic,School of Business,Slightly familiar,Not familiar at all,Extremely familiar,No,,Neutral,Adobe Creative Cloud,"N/A, I don't use either","Flexibility,Customization,Lower Costs",Yes,Strongly agree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
,,,,100,,TRUE,,R_6o8siemC7m7Tnz3,,,,,,,,,,Yes,,Undergraduate Student,,History ,,Academic,Columbian College of Arts and Sciences,Not familiar at all,Not familiar at all,Not familiar at all,No,,Neutral,None,"N/A, I don't use either",Knowledge Sharing,Not sure,Neither agree nor disagree,Neither agree nor disagree,No,Neither agree nor disagree,Neutral,No,,Yes,Yes,,,
